amlab;P2;P3;P4;P5;P2 vs P3;P2 vs P4;P2 vs P5
ALAT;564.5730494;141.0869361;888.27942;272.0784286;66.8837911;261.6094942;285.7369256
ALB;3.14871E-05;1.62696E-06;0.044719431;4.66467E-10;486.2257288;12.05777638;55.05586084
ASAT;21.74970291;61.5625863;207.1004333;3.222756865;300.203139;594.2812472;370.1236769
BICARBONAAT;5.42423E-11;2.13651E-15;109.5141014;2.4306E-16;0.021340781;8.87339E-22;0.03241867
CHLORIDE;1.11600508;0.600164404;12.01268585;0.831999512;2.70005E-15;16.24510399;0.007349712
CK;101.3453848;174.2313827;377.4443154;35.34270995;990.7117653;950.6916649;885.8496757
CORT;1.28714E-08;1.47264E-09;956.7417473;0.019007115;7.57214E-05;1.29285E-27;478.6257608
ERY;3.5608E-11;1.15053E-10;8.82957E-05;3.91756E-13;0.415299548;2.361194076;42.92611511
GGT;6.2586406;0.037496798;71.90030504;1.754787685;62.31907658;512.5657328;916.3255586
GLU.NN;0.156048444;0.479375414;93.2298623;0.572894512;335.7744226;3.152805733;167.7168963
HB;1.47781E-13;5.92737E-13;1.19776E-06;1.2535E-14;0.293319323;1.609715924;235.8012792
HEMOLYTISCH;46.28057967;399.9190311;310.9303668;800.7120828;618.4409298;613.4167585;15.9660651
HT;2.36601E-10;1.90024E-09;0.027576972;7.04885E-12;0.033325744;0.067083319;9.058070011
ICTERISCH;0.781599579;1.015519722;7.626419778;10.09125912;946.1962001;580.1157714;922.7933985
INSULINE;4.28446E-08;7.35343E-14;0.141388043;0.000347441;3.16982E-07;0.026015604;0.001317186
KALIUM;1.58559E-14;9.56274E-11;6.38469E-05;1.07151E-09;247.4293466;0.12150528;626.1541014
KREAT;5.94426E-11;3.62312E-13;426.8991892;8.28314E-08;0.009068851;1.75572E-19;763.8417203
LDH;0.005446266;0.14305675;2.348154113;0.115244126;720.8698558;617.4802146;430.0122293
LEUCO;4.9462E-13;1.0808E-10;0.001021089;1.92972E-14;565.3704032;1.37227E-07;17.45852117
LIPEMISCH;0.17198934;0.856364022;0.002077745;0.096775023;0.018874393;0.001025107;34.0783923
LYMFO_ABS_CORRECTIE;5.51605E-47;1.24291E-43;1.30919E-10;4.42164E-46;0.030839659;1.56888E-36;0.162457379
MCHC;569.4720688;941.2225302;380.1862801;402.2479152;580.8361121;16.62554282;118.6801447
MCV;46.17254952;98.43300347;130.1467297;38.76351972;380.6519662;0.615092753;295.021238
MONO_ABS;1.09389E-08;4.25177E-08;0.00039037;3.22842E-09;61.22520983;2.570254777;539.8346414
NATRIUM;0.541704633;0.040756627;152.4947122;0.082580373;3.97139E-13;0.011998781;0.80072621
NEUTRO_ABS;2.16894E-11;6.05294E-10;3.566104059;1.04714E-12;389.6170415;3.43362E-15;3.003803289
RDW;967.0887393;802.4386271;738.8841832;777.6722743;863.6686104;569.5988263;846.393503
RETI;502.9388613;57.21412536;226.4009948;1.752872535;786.0700763;311.1411611;113.8033348
TROMBO;1.88063E-30;2.36606E-33;2.82557E-17;3.1176E-36;232.9976714;7.18848E-06;44.88739969
UREUM;7.81598E-05;2.02811E-05;27.96866048;0.054658029;3.0637E-05;3.925565467;859.4743319
IFAB;2.51374E-20;3.67488E-32;712.3026686;2.66863E-12;3.07428E-11;2.3267E-24;184.6161258
asp;0.880128431;31.86516861;10.34383279;0.082657274;22.08167371;750.9552258;24.12580548
glu;7.48908E-05;0.018686108;5.257554141;0.000317244;171.3243939;121.500312;364.1936307
asn;16.66294879;3.80774E-07;4.94052416;14.0881563;5.71032E-11;1.94069E-07;21.61642128
ser;13.98437218;1.25295E-06;5.58093056;6.421161302;1.72262E-09;1.83219E-06;26.26571414
gln;453.9629526;3.57304E-07;17.66871914;623.8000552;3.5688E-17;2.20936E-06;51.37665788
his;125.0148165;15.68269126;524.4696444;544.5488262;0.249650368;16.30705647;688.1673295
gly;5.672428065;7.364543115;4.876477556;0.0877093;0.490017983;27.89752829;9.603190468
thre;2.732042445;8.18463E-06;0.042549196;0.118712099;6.74874E-12;0.00052738;24.3769105
citrul;2.83751E-29;1.55313E-07;2.00917E-26;3.52179E-24;2.69177E-25;1.02554E-05;49.94659594
arg;0.269157383;0.831231231;0.00950005;0.08886479;2.32541E-07;0.000132989;428.4869578
ala;1.44474E-24;8.2314E-25;9.3954E-06;1.45347E-27;3.0799E-16;3.6149E-10;0.028305791
tau;1.16133E-15;1.88755E-06;0.06967351;7.19326E-12;418.9072454;1.077339386;452.94003
tyr;5.4609E-30;2.89642E-23;5.74047E-11;6.38268E-32;0.001524477;1.20415E-11;25.73630575
val;1.599460512;3.55772E-05;0.11958915;33.14692896;0.000230735;0.045868896;55.47151989
meth;5.0842E-15;2.7478E-11;0.803288597;1.01681E-16;18.41249229;7.41396E-07;42.5611031
trp;2.16741E-19;8.29017E-11;3.198314098;1.37351E-12;1.639974279;1.73031E-06;371.8688473
pheala;9.84354E-11;1.51122E-15;0.798837629;2.24535E-07;2.30381E-10;1.29571E-17;843.2067387
ile;4.554143367;0.004269463;2.741198434;6.242541189;0.000124057;8.05724E-05;27.19610464
leu;2.693929723;1.82991E-07;0.704578347;28.67597071;1.41639E-08;1.36859E-07;52.79220647
lys;0.000597781;0.010960766;5.005424109;0.006947141;53.99742944;157.4320558;758.9231387
