amlab;P1 vs P2;P1 vs P3;P1 vs P4;P1 vs P5;P2 vs P3;P2 vs P4;P2 vs P5
ALB;-15.66;-17.74;-10.29;-23.64;-0.32;-1.7;-1.15
BICARBONAAT;-26.03;-31.95;-4.23;-35.31;-4.37;-23.39;-4.15
CHLORIDE;-7.72;-3.64;-5.19;-9.33;-16.9;-1.78;-5.35
CORT;-26.24;-26.78;-0.01;-13.14;-7.49;-31.6;-0.34
ERY;-21.79;-23.06;-11.93;-25.5;-3.31;-2.8;-1.26
GGT;-1.42;-1.6;-0.54;-2;-0.14;-0.06;-0.04
HT;-22.48;-23.48;-8.76;-25.91;-4.72;-4.64;-2
HB;-25.63;-27.9;-13.83;-27.93;-3.82;-3.42;-0.53
INSULINE;-24.94;-35.11;-10.54;-15.35;-10.06;-4.9;-6.26
CK;-2.79;-1.45;-0.75;-2.7;-0.01;-0.11;-0.01
KREAT;-25.63;-26.28;-0.35;-19.63;-4.26;-24.06;-0.26
KALIUM;-36.95;-29.57;-19.56;-28.48;-0.57;-3.27;-0.17
LEUCO;-27.55;-23.67;-10.8;-30.87;-0.23;-10.41;-1.97
LDH;-6.05;-4.06;-2.68;-4.96;-0.07;-0.19;-0.3
NATRIUM;-7.5;-7.79;-2.91;-9.71;-13.66;-3.48;-3.05
RETI;-0.46;-2.07;-1.91;-3.68;-0.12;-0.6;-0.88
TROMBO;-56.88;-59.29;-34.66;-64.95;-0.7;-8.74;-1.65
ASAT;-2.38;-1.65;-1.02;-3.99;-0.41;-0.27;-0.55
ALAT;-0.91;-2.34;-0.54;-3.54;-0.26;-0.33;-0.68
UREUM;-7.31;-7.99;-0.94;-3.66;-5.85;-1.72;-0.06
HEMOLYTISCH;-1.47;-0.5;-0.28;-0.34;-0.15;-0.16;-1.64
ICTERISCH;-3.23;-2.66;-1.36;-1.81;-0.02;-0.29;-0.04
LIPEMISCH;-3.44;-5.03;-4.5;-2.94;-4.73;-5.98;-1.46
LYMFO_ABS;-80.6;-75.09;-24.27;-79.4;-5.33;-42.79;-3.83
LYMFO_ABS_CORR;-83.84;-77.63;-26.41;-82.91;-5.1;-43.13;-4.36
MCHC;-1.33;-0.98;-0.35;-2.05;-0.24;-1.67;-1.08
MCV;-0.83;-0.71;-0.1;-1.3;-0.45;-3.37;-0.56
EGFR;-23.67;-25.22;-0.29;-17.93;-4.37;-21.94;-0.17
MONO_ABS;-20.99;-19.5;-12.33;-21.86;-1.27;-2.46;-0.27
NEUTRO_ABS;-27.26;-24.21;-5.1;-30.09;-0.38;-18.35;-2.81
RDW;-0.13;-0.02;-0.07;-0.04;-0.05;-0.32;-0.08
GLU_NN;-7.6;-8.74;-2.36;-6.54;-1.18;-3.35;-0.74
IFAB;-22.6;-34.43;-0.15;-14.57;-13.51;-26.63;-0.73
asp;-3.06;-1.5;-1.99;-4.08;-1.66;-0.12;-1.62
glu;-7.13;-4.73;-2.28;-6.5;-0.77;-0.92;-0.44
asn;-1.78;-9.42;-2.31;-1.85;-13.24;-9.71;-1.67
ser;-1.85;-8.9;-2.25;-2.19;-11.76;-8.74;-1.58
gln;-0.34;-9.45;-1.75;-0.2;-19.45;-8.66;-1.29
his;-0.9;-1.8;-0.28;-0.26;-3.6;-1.79;-0.16
gly;-2.25;-2.13;-2.31;-4.06;-3.31;-1.55;-2.02
thre;-2.56;-8.09;-4.37;-3.93;-14.17;-6.28;-1.61
citrul;-31.55;-9.81;-28.7;-26.45;-27.57;-7.99;-1.3
arg;-3.57;-3.08;-5.02;-4.05;-9.63;-6.88;-0.37
ala;-26.84;-27.08;-8.03;-29.84;-18.51;-12.44;-4.55
tau;-17.94;-8.72;-4.16;-14.14;-0.38;-2.97;-0.34
tyr;-32.26;-25.54;-13.24;-34.19;-5.82;-13.92;-1.59
val;-2.8;-7.45;-3.92;-1.48;-6.64;-4.34;-1.26
meth;-17.29;-13.56;-3.1;-18.99;-1.73;-9.13;-1.37
trp;-21.66;-13.08;-2.5;-14.86;-2.79;-8.76;-0.43
pheala;-13.01;-17.82;-3.1;-9.65;-12.64;-19.89;-0.07
ile;-2.34;-5.37;-2.56;-2.2;-6.91;-7.09;-1.57
leu;-15.66;-17.74;-10.29;-23.64;-0.32;-1.7;-1.15
lys;-26.03;-31.95;-4.23;-35.31;-4.37;-23.39;-4.15
