amlab;P1 vs P2;P1 vs P3;P1 vs P4;P1 vs P5;P2 vs P3;P2 vs P4;P2 vs P5
ALB;13.89;15.65;9.47;20.8;0.94;2.4;1.88
BICARBONAAT;22.96;28.51;4.58;31.8;4.69;20.57;4.51
CHLORIDE;7.41;4.08;5.36;8.7;14.94;2.48;5.49
CORT;23.15;23.64;0.25;11.8;7.21;28.18;0.96
ERY;19.25;20.38;10.84;22.61;3.81;3.38;1.99
GGT;2.14;2.32;1.22;2.68;0.64;0.46;0.39
HT;19.86;20.75;8.26;22.98;4.98;4.91;2.68
HB;22.71;24.82;12.42;24.87;4.24;3.9;1.21
INSULINE;21.97;31.6;9.68;13.64;9.29;5.12;6.23
CK;3.37;2.17;1.46;3.3;0.21;0.59;0.22
KREAT;22.6;23.19;0.98;17.27;4.6;21.17;0.85
KALIUM;33.44;26.23;17.21;25.22;1.26;3.78;0.69
LEUCO;24.48;20.91;9.92;27.65;0.79;9.59;2.65
LDH;6.06;4.43;3.27;5.17;0.48;0.73;0.9
NATRIUM;7.22;7.46;3.47;9.01;12.24;3.95;3.59
RETI;1.12;2.74;2.59;4.12;0.59;1.3;1.61
TROMBO;56.46;59.51;31.43;67.09;1.4;8.24;2.36
ASAT;3.02;2.36;1.75;4.38;1.06;0.87;1.23
ALAT;1.64;2.98;1.23;4;0.84;0.95;1.39
UREUM;7.07;7.62;1.67;4.1;5.89;2.42;0.44
HEMOLYTISCH;2.19;1.18;0.88;0.97;0.65;0.68;2.35
ICTERISCH;3.75;3.26;2.09;2.51;0.3;0.89;0.38
LIPEMISCH;3.92;5.23;4.8;3.5;4.98;6;2.18
LYMFO_ABS;88.11;79.82;21.34;86.31;5.47;39.45;4.24
LYMFO_ABS_CORR;93.66;84.01;23.33;92.24;5.28;39.94;4.68
MCHC;2.06;1.7;0.97;2.72;0.81;2.37;1.81
MCV;1.55;1.42;0.54;2.03;1.11;3.86;1.25
EGFR;20.82;22.22;0.89;15.81;4.69;19.29;0.69
MONO_ABS;18.44;17.14;11.13;19.21;2;3.09;0.86
NEUTRO_ABS;24.06;21.28;5.28;26.71;1.01;16.16;3.38
RDW;0.61;0.28;0.48;0.4;0.42;0.94;0.5
GLU_NN;14.02;16.2;4.51;12.04;2.43;6.25;1.64
IFAB;19.93;31.08;0.65;13.02;12.13;23.58;1.45
asp;3.59;2.22;2.66;4.45;2.36;0.61;2.33
glu;6.92;4.98;2.93;6.42;1.48;1.64;1.1
asn;2.48;8.77;2.95;2.54;11.88;9.01;2.37
ser;2.55;8.35;2.9;2.85;10.67;8.22;2.29
gln;0.97;8.79;2.45;0.76;17.1;8.15;2.02
his;1.63;2.5;0.88;0.85;4.05;2.49;0.68
gly;2.9;2.8;2.95;4.43;3.81;2.27;2.69
thre;3.17;7.7;4.69;4.32;12.65;6.24;2.32
citrul;28.1;9.09;25.4;23.33;24.35;7.62;2.03
arg;4.03;3.62;5.22;4.43;8.94;6.72;1
ala;23.69;23.91;7.65;26.48;16.3;11.23;4.83
tau;15.81;8.21;4.51;12.63;1.02;3.52;0.97
tyr;28.8;22.5;11.88;30.68;5.87;12.44;2.3
val;3.37;7.18;4.32;2.2;6.53;4.66;1.99
meth;15.27;12.15;3.63;16.72;2.44;8.54;2.1
trp;19.04;11.75;3.11;13.23;3.36;8.24;1.08
pheala;11.69;15.71;3.63;8.96;11.39;17.49;0.49
ile;2.98;5.5;3.17;2.86;6.75;6.9;2.28
leu;13.89;15.65;9.47;20.8;0.94;2.4;1.88
lys;22.96;28.51;4.58;31.8;4.69;20.57;4.51
