protocol,time,analyte,mean,sd,n_obs
P1,0,ALB,44.4,1.957,15
P1,0.5,ALB,44.5333,2.503,15
P1,1,ALB,44.4667,3.137,15
P1,1.5,ALB,45.0714,2.895,14
P1,2,ALB,45.3333,2.743,15
P1,24,ALB,44.6667,2.193,15
P1,3,ALB,44.7333,2.865,15
P1,6,ALB,45.2,2.833,15
P2,0,ALB,43.8667,1.846,15
P2,0.5,ALB,48.4615,2.332,13
P2,1,ALB,47.8667,2.386,15
P2,1.5,ALB,45.7333,2.282,15
P2,2,ALB,44.2857,2.431,14
P2,24,ALB,44.2667,2.219,15
P2,3,ALB,44.5333,2.326,15
P2,6,ALB,45.5714,2.623,14
P3,0,ALB,44.7143,2.234,14
P3,0.5,ALB,49.7692,2.455,13
P3,1,ALB,49,2.828,14
P3,1.5,ALB,46.6429,2.59,14
P3,2,ALB,45.3333,2.605,12
P3,24,ALB,44.6429,2.405,14
P3,3,ALB,45.5,2.139,14
P3,6,ALB,46,2.757,11
P4,0,ALB,43.6667,2.16,15
P4,0.5,ALB,47.3571,2.405,14
P4,1,ALB,46.9333,1.944,15
P4,1.5,ALB,44.9333,2.685,15
P4,2,ALB,43.9286,1.94,14
P4,24,ALB,44.625,1.928,16
P4,3,ALB,44.6667,1.915,15
P4,6,ALB,44.9286,2.645,14
P5,0,ALB,43.6,1.639,15
P5,0.5,ALB,49.1333,1.959,15
P5,1,ALB,48.6667,2.582,15
P5,1.5,ALB,44.9286,1.73,14
P5,2,ALB,44.2143,2.19,14
P5,24,ALB,43.7143,2.84,14
P5,3,ALB,44.5333,2.722,15
P5,6,ALB,45.6667,2.35,15
P1,0,BICARB,25.0667,1.534,15
P1,0.5,BICARB,27.1333,2.722,15
P1,1,BICARB,27.2667,3.035,15
P1,1.5,BICARB,26.2143,2.007,14
P1,2,BICARB,28.6667,4.483,15
P1,24,BICARB,26.2667,1.624,15
P1,3,BICARB,27.2,2.336,15
P1,6,BICARB,26.3333,2.944,15
P2,0,BICARB,25.4667,1.767,15
P2,0.5,BICARB,18.3571,1.737,14
P2,1,BICARB,19.4,2.64,15
P2,1.5,BICARB,22.9333,2.314,15
P2,2,BICARB,24.5714,2.709,14
P2,24,BICARB,25.2,1.612,15
P2,3,BICARB,24.8,1.656,15
P2,6,BICARB,24.2143,1.968,14
P3,0,BICARB,25.3571,1.216,14
P3,0.5,BICARB,17.3846,2.103,13
P3,1,BICARB,19.8571,3.57,14
P3,1.5,BICARB,24.3571,2.62,14
P3,2,BICARB,24.5,3.778,12
P3,24,BICARB,25.5,1.454,14
P3,3,BICARB,26,4.368,14
P3,6,BICARB,24.8182,1.779,11
